date,classII_milk,replacement_fresh_cow (/hd),calves_bulls_no1 (/cwt),calves_heifers_no1 (/cwt),source_pdf
11/5/24,21.01,NA,531.03,646.41,ams_2957_00058.pdf
12/4/24,21.52,2488.56,586.63,600.26,ams_2957_00059.pdf
1/3/25,21.28,NA,631.62,599.47,ams_2957_00060.pdf
2/5/25,21.58,NA,651.84,588.25,ams_2957_00061.pdf
3/6/25,21.08,2920.19,713.33,569.91,ams_2957_00062.pdf
4/4/25,20.12,NA,773.17,790.16,ams_2957_00063.pdf
5/2/25,19.22,NA,888.39,790.51,ams_2957_00064.pdf
6/5/25,18.72,3020.55,920.96,855.96,ams_2957_00065.pdf
7/7/25,18.43,NA,963.84,845.83,ams_2957_00066.pdf
8/4/25,19.31,NA,919.21,801.5,ams_2957_00067.pdf
9/4/25,19.18,NA,964.03,930.28,ams_2957_00068.pdf
10/6/25,17.39,2600,1108.03,886.61,ams_2957_00069.pdf
AVG,19.90333333,2757.325,804.34,742.0958333,